,0,1,2,3,4
203,2.8114,49.8482,[0.0035217],2.8114_49.8482.tif,Ablaincourt-Pressoir
204,2.8114,49.8412,[0.01737571],2.8114_49.8412.tif,Ablaincourt-Pressoir
205,2.8156,49.8342,[0.00029124],2.8156_49.8342.tif,Ablaincourt-Pressoir
206,2.8128,49.8482,[0.0013919],2.8128_49.8482.tif,Ablaincourt-Pressoir
207,2.817,49.8342,[0.3075947],2.817_49.8342.tif,Ablaincourt-Pressoir
208,2.8128,49.8412,[0.00744267],2.8128_49.8412.tif,Ablaincourt-Pressoir
209,2.8142,49.8482,[0.09552503],2.8142_49.8482.tif,Ablaincourt-Pressoir
210,2.8184,49.8342,[0.00070209],2.8184_49.8342.tif,Ablaincourt-Pressoir
211,2.8142,49.8412,[0.00362739],2.8142_49.8412.tif,Ablaincourt-Pressoir
212,2.8156,49.8482,[0.00235143],2.8156_49.8482.tif,Ablaincourt-Pressoir
213,2.8198,49.8342,[5.0406263e-05],2.8198_49.8342.tif,Ablaincourt-Pressoir
214,2.8156,49.8412,[0.00243489],2.8156_49.8412.tif,Ablaincourt-Pressoir
215,2.817,49.8482,[0.0040206],2.817_49.8482.tif,Ablaincourt-Pressoir
216,2.8212,49.8342,[6.500348e-06],2.8212_49.8342.tif,Ablaincourt-Pressoir
217,2.817,49.8412,[0.00162578],2.817_49.8412.tif,Ablaincourt-Pressoir
218,2.8184,49.8482,[0.00232192],2.8184_49.8482.tif,Ablaincourt-Pressoir
219,2.8226,49.8342,[0.00377776],2.8226_49.8342.tif,Ablaincourt-Pressoir
220,2.8184,49.8412,[0.0033839],2.8184_49.8412.tif,Ablaincourt-Pressoir
221,2.8198,49.8482,[0.00172954],2.8198_49.8482.tif,Ablaincourt-Pressoir
222,2.824,49.8342,[0.00010562],2.824_49.8342.tif,Ablaincourt-Pressoir
223,2.8198,49.8412,[1.5941925e-05],2.8198_49.8412.tif,Ablaincourt-Pressoir
224,2.8212,49.8482,[9.766283e-06],2.8212_49.8482.tif,Ablaincourt-Pressoir
225,2.8254,49.8342,[0.00066764],2.8254_49.8342.tif,Ablaincourt-Pressoir
226,2.8212,49.8412,[7.180839e-08],2.8212_49.8412.tif,Ablaincourt-Pressoir
227,2.8226,49.8482,[3.4535796e-07],2.8226_49.8482.tif,Ablaincourt-Pressoir
228,2.8268,49.8342,[1.6421747e-06],2.8268_49.8342.tif,Ablaincourt-Pressoir
229,2.8226,49.8412,[0.00038424],2.8226_49.8412.tif,Ablaincourt-Pressoir
230,2.824,49.8482,[5.2727755e-06],2.824_49.8482.tif,Ablaincourt-Pressoir
231,2.8282,49.8342,[8.613999e-08],2.8282_49.8342.tif,Ablaincourt-Pressoir
232,2.824,49.8412,[0.00075029],2.824_49.8412.tif,Ablaincourt-Pressoir
233,2.8254,49.8482,[2.235539e-05],2.8254_49.8482.tif,Ablaincourt-Pressoir
234,2.8296,49.8342,[9.30903e-07],2.8296_49.8342.tif,Ablaincourt-Pressoir
235,2.8254,49.8412,[2.2818908e-08],2.8254_49.8412.tif,Ablaincourt-Pressoir
236,2.8268,49.8482,[3.946012e-05],2.8268_49.8482.tif,Ablaincourt-Pressoir
237,2.831,49.8342,[0.00260409],2.831_49.8342.tif,Ablaincourt-Pressoir
238,2.8268,49.8412,[0.00082675],2.8268_49.8412.tif,Ablaincourt-Pressoir
239,2.8282,49.8482,[9.9202196e-05],2.8282_49.8482.tif,Ablaincourt-Pressoir
240,2.8324,49.8342,[0.00327113],2.8324_49.8342.tif,Ablaincourt-Pressoir
241,2.8282,49.8412,[0.00014334],2.8282_49.8412.tif,Ablaincourt-Pressoir
242,2.8296,49.8482,[0.00017865],2.8296_49.8482.tif,Ablaincourt-Pressoir
243,2.8338,49.8342,[0.00251892],2.8338_49.8342.tif,Ablaincourt-Pressoir
244,2.8296,49.8412,[0.00032576],2.8296_49.8412.tif,Ablaincourt-Pressoir
245,2.8352,49.8342,[0.00206453],2.8352_49.8342.tif,Ablaincourt-Pressoir
246,2.831,49.8482,[4.5667864e-05],2.831_49.8482.tif,Ablaincourt-Pressoir
247,2.831,49.8412,[7.5606986e-05],2.831_49.8412.tif,Ablaincourt-Pressoir
248,2.8366,49.8342,[0.00065343],2.8366_49.8342.tif,Ablaincourt-Pressoir
249,2.8324,49.8482,[0.00115247],2.8324_49.8482.tif,Ablaincourt-Pressoir
250,2.8324,49.8412,[0.00132671],2.8324_49.8412.tif,Ablaincourt-Pressoir
251,2.838,49.8342,[0.00061138],2.838_49.8342.tif,Ablaincourt-Pressoir
252,2.8338,49.8482,[0.03200407],2.8338_49.8482.tif,Ablaincourt-Pressoir
253,2.8338,49.8412,[0.00115238],2.8338_49.8412.tif,Ablaincourt-Pressoir
254,2.8394,49.8342,[0.00086766],2.8394_49.8342.tif,Ablaincourt-Pressoir
255,2.8352,49.8482,[0.01464618],2.8352_49.8482.tif,Ablaincourt-Pressoir
256,2.81,49.8356,[0.00121729],2.81_49.8356.tif,Ablaincourt-Pressoir
257,2.8352,49.8412,[0.00143493],2.8352_49.8412.tif,Ablaincourt-Pressoir
258,2.8366,49.8482,[0.00389803],2.8366_49.8482.tif,Ablaincourt-Pressoir
259,2.8366,49.8412,[0.00279788],2.8366_49.8412.tif,Ablaincourt-Pressoir
260,2.8114,49.8356,[0.00092647],2.8114_49.8356.tif,Ablaincourt-Pressoir
261,2.838,49.8482,[0.00303629],2.838_49.8482.tif,Ablaincourt-Pressoir
262,2.8128,49.8356,[0.00059219],2.8128_49.8356.tif,Ablaincourt-Pressoir
263,2.838,49.8412,[0.01522851],2.838_49.8412.tif,Ablaincourt-Pressoir
264,2.8394,49.8482,[0.00336481],2.8394_49.8482.tif,Ablaincourt-Pressoir
265,2.8142,49.8356,[0.00096449],2.8142_49.8356.tif,Ablaincourt-Pressoir
266,2.8394,49.8412,[0.00429078],2.8394_49.8412.tif,Ablaincourt-Pressoir
267,2.81,49.8496,[0.00200656],2.81_49.8496.tif,Ablaincourt-Pressoir
268,2.81,49.8426,[0.0096776],2.81_49.8426.tif,Ablaincourt-Pressoir
269,2.8156,49.8356,[5.236091e-05],2.8156_49.8356.tif,Ablaincourt-Pressoir
270,2.8114,49.8496,[9.614155e-05],2.8114_49.8496.tif,Ablaincourt-Pressoir
271,2.8114,49.8426,[0.00739453],2.8114_49.8426.tif,Ablaincourt-Pressoir
272,2.817,49.8356,[4.0911572e-13],2.817_49.8356.tif,Ablaincourt-Pressoir
273,2.8128,49.8496,[2.8313224e-13],2.8128_49.8496.tif,Ablaincourt-Pressoir
274,2.8184,49.8356,[0.00052644],2.8184_49.8356.tif,Ablaincourt-Pressoir
275,2.8128,49.8426,[0.0062996],2.8128_49.8426.tif,Ablaincourt-Pressoir
276,2.8142,49.8496,[1.9291854e-13],2.8142_49.8496.tif,Ablaincourt-Pressoir
